,mean_temperature,max_temperature,min_temperature,mean_dewPoint,total_precipitation,mean_windSpeed,mean_visibility
2023-07-23,22.444444444444446,26.0,17.5,19.05555555555556,0.0,1.9548872,4.9889540000000006
2023-07-24,23.33333333333333,26.0,21.72222222222221,19.61111111111111,0.0,3.1381084,4.9889540000000006
2023-07-25,22.5,25.0,17.0,17.83333333333333,0.0,2.1606648,4.9889540000000006
2023-07-26,21.77777777777778,25.0,15.77777777777778,17.333333333333332,0.0,2.3664424,5.793624
2023-07-27,22.88888888888889,25.222222222222225,21.0,15.88888888888889,0.0,2.5207756000000003,5.310822
2023-07-28,21.83333333333333,25.222222222222225,14.77777777777778,17.5,0.0,1.9548872,5.9545580000000005
2023-07-29,22.05555555555556,27.0,14.88888888888889,19.27777777777778,0.0,1.7491096,4.9889540000000006
2023-07-30,23.72222222222222,27.0,19.0,20.444444444444443,0.0,2.057776,4.9889540000000006
2023-07-31,23.111111111111107,28.000000000000004,17.61111111111111,19.166666666666668,0.0,1.9548872,4.9889540000000006
2023-08-01,22.33333333333333,26.0,17.0,19.22222222222221,0.0,2.1092204,4.9889540000000006
2023-08-02,22.38888888888889,26.0,16.72222222222222,19.388888888888893,0.0,2.6751088000000003,5.471756
2023-08-03,22.38888888888889,27.0,16.72222222222222,19.05555555555556,0.0,2.1606648,4.9889540000000006
2023-08-04,22.11111111111111,27.22222222222222,15.0,18.166666666666668,0.0,2.6751088000000003,4.9889540000000006
2023-08-05,25.38888888888889,33.0,17.11111111111111,19.0,0.0,2.7265532,4.9889540000000006
2023-08-06,25.0,29.0,19.0,21.38888888888889,0.0,2.7265532,4.9889540000000006
2023-08-07,23.88888888888889,27.11111111111111,19.77777777777777,21.38888888888889,0.0,2.0063316,4.667085999999999
2023-08-08,24.33333333333333,27.0,21.0,22.22222222222222,0.0,1.8519984,4.9889540000000006
2023-08-09,24.72222222222222,28.72222222222222,22.0,22.22222222222222,0.0,2.9323308000000003,4.9889540000000006
2023-08-10,25.55555555555556,31.0,20.88888888888889,20.777777777777786,0.0,2.5207756000000003,4.9889540000000006
2023-08-11,27.05555555555556,34.0,19.61111111111111,18.166666666666668,0.0,2.0063316,4.9889540000000006
2023-08-12,25.88888888888889,32.0,19.0,18.111111111111107,0.0,1.9548872,4.9889540000000006
2023-08-13,23.944444444444443,30.0,16.77777777777778,20.33333333333333,0.0,2.314998,4.9889540000000006
