,mean_temperature,max_temperature,min_temperature,mean_dewPoint,total_precipitation,mean_windSpeed,mean_visibility
2021-12-09,12.388888888888888,21.0,2.999999999999999,4.055555555555554,0.0,2.3664424,9.977908
2021-12-10,11.333333333333334,21.38888888888889,1.5000000000000016,4.000000000000002,0.0,1.6976652,9.977908
2021-12-11,12.666666666666664,23.88888888888889,2.000000000000001,4.055555555555554,0.0,1.4918876,9.977908
2021-12-12,15.055555555555555,27.0,3.777777777777776,4.722222222222222,0.0,1.4404432,9.977908
2021-12-13,15.77777777777778,24.72222222222222,4.27777777777778,4.000000000000002,0.0,2.314998,9.977908
2021-12-14,15.38888888888889,24.27777777777778,5.999999999999998,4.333333333333332,0.0,1.1832212,9.977908
2021-12-15,14.055555555555554,22.0,5.0,3.8333333333333326,0.0,1.6976652,9.977908
2021-12-16,13.166666666666668,19.88888888888889,7.000000000000001,4.944444444444444,0.0,1.4404432,9.977908
2021-12-17,13.555555555555555,22.88888888888889,3.3888888888888897,1.1111111111111112,0.0,1.7491096,9.977908
2021-12-18,13.88888888888889,24.72222222222222,1.722222222222223,-1.6111111111111105,0.0,1.6462208,9.977908
2021-12-19,16.27777777777778,24.72222222222222,5.277777777777778,3.055555555555556,0.0,1.543332,9.977908
2021-12-20,16.444444444444443,26.72222222222221,5.222222222222221,4.166666666666667,0.0,1.8519984,9.977908
2021-12-21,17.27777777777778,27.27777777777777,5.777777777777777,3.777777777777776,0.0,1.8519984,9.977908
2021-12-22,14.555555555555555,20.0,12.388888888888888,11.500000000000002,0.0,1.9548872,8.85137
2021-12-23,16.5,23.88888888888889,11.222222222222223,10.61111111111111,0.0,1.6976652,9.977908
2021-12-24,14.22222222222222,21.72222222222221,7.000000000000001,8.166666666666668,0.0,2.0063316,9.977908
2021-12-25,12.555555555555555,14.000000000000002,10.22222222222222,9.666666666666666,0.0,3.2409972,9.977908
2021-12-26,15.77777777777778,21.77777777777778,11.88888888888889,13.444444444444446,0.0,1.7491096,8.368568
2021-12-27,15.5,25.11111111111111,7.88888888888889,9.055555555555554,0.0,1.5947764,9.977908
2021-12-28,14.77777777777778,24.61111111111111,5.999999999999998,8.777777777777777,0.0,1.2346656,9.977908
2021-12-29,15.61111111111111,26.22222222222222,5.38888888888889,7.666666666666665,0.0,1.800554,9.977908
2021-12-30,16.944444444444443,27.77777777777778,5.0,4.61111111111111,0.0,1.6462208,9.977908
2021-12-31,16.77777777777778,28.000000000000004,5.0,3.611111111111111,0.0,1.28611,9.977908
2022-01-01,16.5,28.22222222222222,4.888888888888888,3.055555555555556,0.0,1.5947764,9.977908
2022-01-02,15.666666666666666,26.611111111111114,4.27777777777778,3.8333333333333326,0.0,1.5947764,9.977908
2022-01-03,15.0,25.500000000000004,3.611111111111111,3.277777777777777,0.0,1.5947764,9.977908
2022-01-04,14.833333333333334,22.88888888888889,3.2222222222222205,0.5555555555555556,0.0,2.6751088000000003,9.977908
